GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QYV1	TSCOT	involved_in	GO:0045580	regulation of T cell differentiation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CA03|ensembl:ENSMUSP00000030081	9606	Ensembl		P
UniProtKB	A0A024QYV1	TSCOT	involved_in	GO:0070233	negative regulation of T cell apoptotic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CA03|ensembl:ENSMUSP00000030081	9606	Ensembl		P
UniProtKB	A0A024QYV8	CP110	involved_in	GO:0032465	regulation of cytokinesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033207	9606	InterPro		P
UniProtKB	A0A024QYW7	PIM2	involved_in	GO:0043066	negative regulation of apoptotic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017348	9606	InterPro		P
UniProtKB	A0A024QYW7	PIM2	involved_in	GO:0043066	negative regulation of apoptotic process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000736757	9606	UniProt		P
UniProtKB	A0A024QZ19	TRAF4	involved_in	GO:0042981	regulation of apoptotic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012227	9606	InterPro		P
UniProtKB	A0A024QZ20	MAPK7	involved_in	GO:0043066	negative regulation of apoptotic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9WVS8|ensembl:ENSMUSP00000078087	9606	Ensembl		P
UniProtKB	A0A024QZ23	TFE3	involved_in	GO:0045670	regulation of osteoclast differentiation	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR024100	9606	InterPro		P
UniProtKB	A0A024QZ26	HDAC6	involved_in	GO:0045598	regulation of fat cell differentiation	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9Z2V5|ensembl:ENSMUSP00000033501	9606	Ensembl		P
UniProtKB	A0A024QZ57	CLN8	involved_in	GO:0043066	negative regulation of apoptotic process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QUK3|ensembl:ENSMUSP00000027554	9606	Ensembl		P
UniProtKB	A0A024QZ59	TRAF4	involved_in	GO:0042981	regulation of apoptotic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR012227	9606	InterPro		P
